hour,day_of_week,temperature,rainfall,vehicle_count,average_speed,accident,congestion_level
7,Monday,28,0,850,28,0,High
8,Monday,29,0,1100,20,0,High
9,Monday,30,0,920,25,0,High
10,Monday,31,0,700,35,0,Medium
11,Monday,32,0,620,40,0,Low
12,Monday,33,0,680,38,0,Low
13,Monday,34,0,720,36,0,Medium
14,Monday,34,0,650,40,0,Low
15,Monday,33,2,760,34,0,Medium
16,Monday,32,5,900,29,0,High
17,Monday,31,8,1150,19,1,High
18,Monday,30,10,1250,16,1,High
19,Monday,29,5,1050,22,0,High
20,Monday,28,2,850,28,0,Medium
8,Tuesday,29,0,1050,22,0,High
9,Tuesday,30,0,900,26,0,High
10,Tuesday,31,0,650,40,0,Low
11,Tuesday,32,0,600,42,0,Low
12,Tuesday,33,0,670,39,0,Low
13,Tuesday,34,0,710,37,0,Medium
14,Tuesday,35,1,760,34,0,Medium
15,Tuesday,34,3,820,31,0,Medium
16,Tuesday,33,6,950,26,0,High
17,Tuesday,32,9,1200,18,1,High
18,Tuesday,31,12,1300,15,1,High
19,Tuesday,30,7,1100,20,0,High
20,Tuesday,29,3,900,26,0,Medium
7,Wednesday,27,0,820,29,0,High
8,Wednesday,28,0,1080,21,0,High
9,Wednesday,29,0,880,27,0,High
10,Wednesday,30,0,680,38,0,Low
11,Wednesday,31,0,610,41,0,Low
12,Wednesday,32,1,690,38,0,Low
13,Wednesday,33,2,730,35,0,Medium
14,Wednesday,34,2,670,39,0,Low
15,Wednesday,33,4,780,33,0,Medium
16,Wednesday,32,7,930,27,0,High
17,Wednesday,31,10,1180,19,1,High
18,Wednesday,30,15,1280,14,1,High
19,Wednesday,29,8,1080,21,0,High
20,Wednesday,28,3,880,27,0,Medium
7,Thursday,28,0,800,30,0,High
8,Thursday,29,0,1070,22,0,High
9,Thursday,30,0,890,26,0,High
10,Thursday,31,0,690,37,0,Low
11,Thursday,32,0,630,40,0,Low
12,Thursday,33,1,700,37,0,Medium
13,Thursday,34,2,740,35,0,Medium
14,Thursday,34,3,680,38,0,Low
15,Thursday,33,5,790,32,0,Medium
16,Thursday,32,8,940,26,0,High
17,Thursday,31,11,1190,18,1,High
18,Thursday,30,14,1270,15,1,High
19,Thursday,29,7,1090,21,0,High
20,Thursday,28,3,870,27,0,Medium
7,Friday,29,0,900,26,0,High
8,Friday,30,0,1150,19,0,High
9,Friday,31,0,980,23,0,High
10,Friday,32,0,750,34,0,Medium
11,Friday,33,0,670,38,0,Low
12,Friday,34,2,730,35,0,Medium
13,Friday,35,3,800,32,0,Medium
14,Friday,35,4,760,33,0,Medium
15,Friday,34,5,850,29,0,High
16,Friday,33,8,1000,24,0,High
17,Friday,32,12,1250,16,1,High
18,Friday,31,15,1350,13,1,High
19,Friday,30,9,1200,18,0,High
20,Friday,29,4,1000,23,0,High
